name	lat	lng	venueId
ASSEMBLAGES KAKIMOTO	35.016144	135.766727	571b2376498ee5843d97343a
CACAO MARKET by MarieBelle	35.005126	135.772487	52225c840493f70f68fc7192
DANDELION CHOCOLATE	34.998879	135.780253	5af1663c95d986003963c235
JEAN-PAUL HÉVIN JAPON - Kyoto	35.008554	135.765152	5811ad8338fafc8715ce5530
Kyoto Nama Chocolat Organic Tea House	35.016019	135.786283	4d60c012b19fa143dde9f9c8
Lindt Chocolat Cafe Kyoto Shijodori	35.003484	135.762187	58baa7c215fb437fcfa2e60b
Malebranche Cacao 365 Gion store	35.00279	135.775698	53803239498e54d58e7d320b
MARIEBELLE Kyoto	35.008781	135.763388	4f924337e4b0e2dc95c27126
Raw Cafe by cacao∞magic	35.026724	135.794541	51185c46e4b06e75e9c7b381
Salon de Royal Kyoto	35.011423	135.77084	510e8251e4b0470c6449b82c